from,to
0,748
0,45
0,364
0,687
0,496
0,145
0,112
0,377
0,412
0,573
1,65
1,390
1,650
1,683
1,696
1,367
1,337
1,210
1,467
1,790
1,728
2,482
2,387
2,265
2,365
2,503
2,697
2,410
3,674
3,324
3,742
3,263
3,236
3,461
3,593
3,212
3,477
3,350
4,129
4,98
4,130
4,376
4,356
4,499
4,629
4,632
4,186
4,125
5,480
5,417
5,230
5,398
5,334
5,304
5,597
5,442
5,383
6,609
6,291
6,584
6,336
6,280
7,608
7,448
7,770
7,323
7,345
7,238
7,793
7,762
7,379
7,766
8,421
8,297
8,562
8,283
8,511
9,290
9,298
9,529
9,530
9,275
9,436
9,25
9,252
10,743
10,364
10,687
10,496
10,112
10,377
10,571
10,573
10,126
10,127
11,453
11,457
11,397
11,174
11,148
11,254
11,59
11,702
12,161
12,196
12,360
12,758
12,62
13,129
13,651
13,750
13,784
13,29
14,110
14,710
15,100
15,295
15,137
15,106
15,565
15,798
16,326
16,686
16,51
16,407
16,445
16,255
17,194
17,408
17,440
17,243
17,183
17,280
17,634
18,270
18,241
18,434
18,401
18,501
18,22
19,746
19,618
19,563
19,405
19,505
20,131
20,70
20,390
20,329
20,431
20,560
20,752
20,210
20,785
20,95
21,608
21,448
21,770
21,768
21,48
21,181
21,345
21,379
22,514
22,521
22,401
22,18
22,149
23,739
23,227
23,196
23,426
23,496
23,758
23,348
23,158
24,205
24,334
24,398
24,591
24,401
24,241
24,122
24,734
25,9
25,298
25,530
26,33
26,520
26,115
26,411
26,637
27,698
27,466
27,403
27,574
28,121
28,388
28,261
28,116
28,537
29,74
29,651
29,13
29,784
29,631
29,91
29,285
30,66
30,579
30,461
30,575
30,79
30,93
30,351
31,481
31,386
31,645
31,104
31,745
31,585
31,684
31,717
31,272
31,786
31,370
31,756
31,309
31,151
31,184
31,446
32,772
32,777
32,497
32,531
32,437
32,150
33,520
33,527
33,559
33,26
33,638
33,735
34,519
34,498
34,627
34,214
34,572
35,121
35,388
35,200
35,657
35,627
35,116
35,791
35,537
35,572
35,287
36,161
36,225
36,581
36,167
36,264
36,204
36,109
36,685
36,652
36,792
36,244
36,406
36,152
36,606
37,133
37,458
37,107
37,783
37,143
37,569
37,90
37,667
37,61
37,478
38,289
38,231
38,83
38,533
38,695
38,665
38,732
39,167
39,42
39,236
39,685
39,758
39,87
39,731
40,556
40,76
40,692
40,87
40,600
40,604
40,669
40,606
41,132
41,710
41,459
41,686
41,250
41,445
42,161
42,39
42,167
42,360
42,264
42,236
42,685
43,67
43,326
43,456
43,462
43,51
43,54
43,667
44,704
44,322
44,775
44,759
44,653
44,787
44,439
45,0
45,288
45,748
45,687
45,112
45,56
45,249
45,571
45,412
45,573
45,126
45,127
46,67
46,47
46,255
47,206
47,413
47,46
47,255
48,448
48,768
48,608
48,468
48,21
48,345
48,570
48,379
49,352
49,707
49,389
49,712
49,747
49,340
49,314
50,384
50,342
50,494
51,326
51,43
51,175
51,16
51,540
51,147
51,700
51,445
52,673
52,194
52,356
52,532
52,376
52,633
52,634
52,636
53,516
53,797
53,75
53,237
53,240
53,688
53,316
53,668
53,701
54,133
54,456
54,72
54,234
54,43
54,462
54,175
54,278
54,568
54,89
54,602
54,667
55,258
55,75
55,237
55,240
55,592
55,378
55,316
56,419
56,364
56,45
56,748
56,399
56,687
56,630
56,377
56,412
56,126
57,226
57,293
57,571
57,188
57,127
58,256
58,344
58,259
58,325
58,425
58,433
58,657
58,504
58,443
58,287
59,612
59,454
59,457
59,11
59,525
59,397
59,148
59,156
59,383
60,546
60,162
60,199
60,296
60,239
60,208
60,465
60,179
60,635
61,160
61,37
61,458
61,783
61,143
61,306
61,602
61,569
61,90
62,227
62,196
62,360
62,426
62,12
62,209
62,658
62,758
62,731
63,389
63,678
63,618
63,492
63,589
63,655
63,763
64,647
64,703
64,228
64,607
65,1
65,390
65,663
66,395
66,155
66,30
67,43
67,46
67,147
67,540
67,445
67,255
68,530
68,691
69,680
69,698
69,576
69,495
70,705
70,385
70,131
70,644
70,329
70,464
70,20
70,217
70,95
71,609
71,163
71,420
71,105
71,248
71,507
71,478
72,160
72,133
72,299
72,555
72,143
72,207
72,783
72,306
72,602
72,54
72,568
72,90
73,257
73,722
73,691
73,111
74,97
74,172
74,29
74,767
75,128
75,258
75,516
75,517
75,240
75,53
75,316
75,55
75,378
75,668
76,741
76,358
76,261
76,40
76,360
76,586
76,523
76,556
76,333
76,366
76,692
76,566
76,600
76,601
76,731
76,604
76,669
77,354
77,516
77,623
77,688
77,240
77,316
78,224
78,385
78,705
78,740
78,741
78,261
78,523
78,246
78,600
78,799
79,579
79,550
79,396
79,765
79,30
79,575
80,192
80,617
80,363
80,268
80,607
80,373
80,602
80,347
80,543
81,357
81,486
81,497
81,531
81,789
82,164
82,169
82,715
82,177
82,690
82,434
82,84
82,343
82,639
83,676
83,708
83,38
83,231
83,205
83,239
83,591
83,465
83,146
83,665
83,313
83,219
84,483
84,164
84,325
84,169
84,715
84,269
84,177
84,594
84,82
84,724
84,180
84,567
84,506
84,603
84,284
84,222
85,98
85,99
85,102
85,429
85,499
85,470
85,218
85,475
85,381
85,318
85,191
86,393
86,139
86,420
87,161
87,39
87,167
87,360
87,40
87,718
87,400
87,758
87,731
88,456
88,588
88,175
89,456
89,555
89,462
89,654
89,306
89,54
89,278
90,163
90,291
90,37
90,72
90,458
90,302
90,783
90,143
90,569
90,602
90,667
90,61
91,129
91,487
91,135
91,651
91,750
91,409
91,29
92,100
92,751
92,565
92,733
92,798
92,447
93,550
93,30
93,575
94,771
94,707
94,712
94,328
94,747
94,220
95,131
95,644
95,390
95,70
95,683
95,431
95,752
95,464
95,210
95,20
95,308
95,728
96,513
96,681
96,267
96,171
96,596
96,280
96,282
96,699
97,74
97,285
98,129
98,99
98,4
98,429
98,499
98,85
98,629
98,632
98,216
98,381
98,318
98,191
99,321
99,450
99,98
99,85
99,694
99,216
99,218
99,475
99,317
99,191
100,295
100,137
100,15
100,751
100,565
100,726
100,92
100,798
100,447
101,521
101,269
101,414
101,719
102,345
102,429
102,85
102,181
102,153
102,475
102,381
102,318
102,191
103,355
103,165
103,301
103,141
103,526
104,386
104,195
104,330
104,370
104,756
104,375
104,221
104,702
104,31
105,160
105,163
105,133
105,71
105,234
105,568
105,783
105,147
105,248
105,667
105,508
105,605
105,478
106,294
106,168
106,554
106,331
106,15
107,280
107,634
107,243
107,37
108,743
108,145
108,178
108,242
108,595
108,471
108,127
109,36
109,167
109,264
109,204
109,662
110,704
110,322
110,491
110,14
110,187
110,510
111,640
111,641
111,386
111,73
111,717
111,622
111,527
111,786
111,723
111,691
111,151
111,735
112,0
112,10
112,490
112,748
112,45
112,687
112,496
112,630
112,571
112,412
112,573
112,126
113,778
113,621
113,414
113,455
114,673
114,746
114,781
114,372
114,213
114,408
114,636
115,592
115,754
115,26
115,307
116,121
116,259
116,388
116,35
116,200
116,657
116,791
116,601
116,28
117,753
117,427
117,774
117,463
118,728
118,721
118,308
119,137
119,733
119,798
119,751
120,224
120,340
120,504
120,537
120,154
121,35
121,586
121,28
121,116
121,791
121,504
121,154
121,604
121,669
122,136
122,205
122,398
122,591
122,334
122,465
122,146
122,24
122,185
122,635
123,672
123,646
123,297
123,689
123,283
124,610
124,295
124,391
124,233
124,335
124,693
124,542
124,479
125,632
125,186
125,499
125,4
126,288
126,293
126,10
126,748
126,45
126,687
126,112
126,437
126,630
126,56
126,249
126,412
126,573
127,293
127,743
127,10
127,108
127,45
127,145
127,211
127,57
127,571
127,188
127,573
127,382
128,354
128,517
128,711
128,75
128,587
128,240
128,182
128,378
128,668
128,670
129,98
129,547
129,356
129,4
129,135
129,651
129,13
129,750
129,499
129,629
129,376
129,91
130,673
130,356
130,229
130,262
130,4
130,493
130,376
130,186
130,381
131,644
131,390
131,70
131,431
131,560
131,785
131,20
131,308
131,95
132,710
132,41
132,459
132,206
132,686
132,407
132,250
133,160
133,163
133,37
133,72
133,105
133,234
133,783
133,306
133,54
133,568
133,602
133,667
133,478
134,453
